waypoint_id,x,y,z,source_viewpoint_id
0,34.0000,-87.3000,77.3000,0
1,19.3000,-81.2000,77.3000,1
2,7.8171,-79.3405,77.3000,2
3,4.5891,-78.8109,77.5000,3
4,8.9578,-79.4491,77.5000,4
5,12.8376,-79.3624,77.5000,5
6,17.4033,-79.3967,77.5000,6
7,25.6813,-82.4339,77.5000,7
8,9.7000,-79.6000,77.5000,8
9,32.8000,-93.1000,77.5000,9
10,32.0270,-98.9751,77.5000,10
11,-7.2595,-90.6171,77.5000,11
12,2.9000,-77.8000,77.5000,12
13,-4.2376,-77.9624,77.5000,13
14,34.0000,-86.5000,77.5000,14
15,32.8971,-92.3992,77.7000,15
16,11.4719,-79.7281,77.7000,16
17,24.6719,-82.1281,77.7000,17
18,15.4619,-79.1381,77.7000,18
19,24.2376,-82.0734,77.7000,19
20,-5.4033,-80.7967,77.7000,20
21,-5.0619,-79.3381,77.7000,21
22,-6.0033,-83.5967,77.7000,22
23,-7.6291,-91.9701,77.7000,23
24,-2.7000,-100.6000,80.5000,24
25,-5.7205,-82.6795,80.5000,25
26,28.9000,-81.6000,80.5000,26
27,16.2517,-78.9882,80.5000,27
28,33.8000,-87.7000,80.5000,28
29,32.8000,-92.7000,80.5000,29
30,31.6900,-99.8640,80.7000,30
31,21.0270,-81.8249,80.7000,31
32,-3.3305,-77.2695,80.7000,32
33,-5.5122,-80.4685,80.7000,33
34,19.9648,-80.6352,80.7000,34
35,32.2000,-97.9000,83.3000,35
36,-7.1966,-91.0718,83.3000,36
37,-5.0719,-80.1281,83.3000,37
38,4.5966,-79.2718,83.3000,38
39,33.2270,-93.5751,83.3000,39
40,3.9548,-78.4452,83.3000,40
41,-7.8595,-88.8171,83.3000,41
42,-2.7751,-77.1730,83.3000,42
43,-7.6000,-91.9000,83.3000,43
44,-7.2306,-85.1277,83.3000,44
45,-5.9891,-83.6109,83.3000,45
46,-5.5352,-81.1390,83.3000,46
47,-7.1661,-85.1187,83.5000,47
48,-4.1790,-96.7790,86.3000,48
49,32.8000,-93.1000,86.3000,49
50,33.0000,-92.5000,86.3000,50
51,-6.6575,-89.8221,86.5000,51
52,-7.2000,-87.9000,86.5000,52
53,27.7000,-97.8000,89.9000,53
