viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,shelf1,shelf,inspect_capture,72.1669,-63.4331,77.9000,-135.00,0.00,0.00,67.5000,-68.1000,77.9000,14,26
1,shelf1,shelf,inspect_capture,45.4355,-56.9645,77.9000,-135.00,0.00,0.00,41.9000,-60.5000,77.9000,14,14
2,shelf1,shelf,inspect_capture,29.8941,-54.5059,77.9000,-135.00,0.00,0.00,26.5000,-57.9000,77.9000,14,9
3,shelf1,shelf,inspect_capture,64.1022,-60.4176,77.9000,-112.50,0.00,0.00,61.5000,-66.7000,77.9000,14,22
4,shelf1,shelf,inspect_capture,45.7073,-57.2197,77.9000,-112.50,0.00,0.00,44.1000,-61.1000,77.9000,14,16
5,shelf1,shelf,inspect_capture,-34.6366,-51.0440,77.9000,9.74,0.00,0.00,-30.3000,-50.3000,77.9000,14,0
6,shelf1,shelf,inspect_capture,-31.6307,-54.1955,78.1000,67.50,0.00,0.00,-30.1000,-50.5000,78.1000,15,0
7,shelf1,shelf,inspect_capture,15.4654,-59.3369,78.1000,22.50,0.00,0.00,19.9000,-57.5000,78.1000,15,6
8,shelf1,shelf,inspect_capture,15.9000,-57.7000,78.1000,0.00,0.00,0.00,22.5000,-57.7000,78.1000,15,8
9,shelf1,shelf,inspect_capture,15.9000,-57.3000,78.1000,0.00,0.00,0.00,19.9000,-57.3000,78.1000,15,6
10,shelf1,shelf,inspect_capture,-7.9426,-49.0574,78.1000,-45.00,0.00,0.00,-3.7000,-53.3000,78.1000,15,4
11,shelf1,shelf,inspect_capture,24.4307,-53.6045,78.1000,-112.50,0.00,0.00,22.9000,-57.3000,78.1000,15,8
12,shelf1,shelf,inspect_capture,66.8307,-60.8045,78.1000,-112.50,0.00,0.00,65.3000,-64.5000,78.1000,15,25
13,shelf1,shelf,inspect_capture,37.7000,-55.9000,78.1000,-90.00,0.00,0.00,37.7000,-62.7000,78.1000,15,11
14,shelf1,shelf,inspect_capture,53.6355,-58.3645,78.1000,-135.00,0.00,0.00,50.1000,-61.9000,78.1000,15,19
15,shelf1,shelf,inspect_capture,48.2307,-57.6045,78.1000,-112.50,0.00,0.00,46.7000,-61.3000,78.1000,15,18
16,shelf1,shelf,inspect_capture,69.4307,-61.2045,78.1000,-112.50,0.00,0.00,67.9000,-64.9000,78.1000,15,27
17,shelf1,shelf,inspect_capture,26.1000,-53.9000,78.1000,-90.00,0.00,0.00,26.1000,-60.7000,78.1000,15,7
18,shelf1,shelf,inspect_capture,52.5022,-58.4176,78.1000,-112.50,0.00,0.00,49.9000,-64.7000,78.1000,15,17
19,shelf1,shelf,inspect_capture,24.3184,-53.2816,78.1000,-135.00,0.00,0.00,20.5000,-57.1000,78.1000,15,6
20,shelf1,shelf,inspect_capture,73.3284,-64.2716,78.1000,-135.00,0.00,0.00,70.5000,-67.1000,78.1000,15,28
21,shelf1,shelf,inspect_capture,-0.2716,-50.4716,78.1000,-135.00,0.00,0.00,-3.1000,-53.3000,78.1000,15,4
22,shelf1,shelf,inspect_capture,-23.7302,-46.3302,78.1000,-135.00,0.00,0.00,-26.7000,-49.3000,78.1000,15,2
23,shelf1,shelf,inspect_capture,-29.9000,-44.9000,78.1000,-90.00,0.00,0.00,-29.9000,-50.3000,78.1000,15,0
24,shelf1,shelf,inspect_capture,65.9184,-60.4816,78.1000,-135.00,0.00,0.00,62.1000,-64.3000,78.1000,15,24
25,shelf1,shelf,inspect_capture,16.1000,-57.9000,78.3000,0.00,0.00,0.00,22.5000,-57.9000,78.3000,16,8
26,shelf1,shelf,inspect_capture,-30.5284,-55.3284,78.3000,45.00,0.00,0.00,-27.7000,-52.5000,78.3000,16,1
27,shelf1,shelf,inspect_capture,-25.0978,-45.6176,78.3000,-112.50,0.00,0.00,-27.7000,-51.9000,78.3000,16,1
28,shelf1,shelf,inspect_capture,-33.7000,-52.3000,78.3000,0.00,0.00,0.00,-27.7000,-52.3000,78.3000,16,1
29,shelf1,shelf,inspect_capture,-23.2816,-47.6816,80.9000,-135.00,0.00,0.00,-27.1000,-51.5000,80.9000,29,2
30,shelf1,shelf,inspect_capture,42.1770,-56.2230,80.9000,-135.00,0.00,0.00,38.5000,-59.9000,80.9000,29,17
31,shelf1,shelf,inspect_capture,-1.0039,-49.9567,80.9000,-112.50,0.00,0.00,-3.3000,-55.5000,80.9000,29,4
32,shelf1,shelf,inspect_capture,-23.6716,-46.6716,80.9000,-135.00,0.00,0.00,-26.5000,-49.5000,80.9000,29,3
33,shelf1,shelf,inspect_capture,-26.9570,-56.0737,80.9000,112.50,0.00,0.00,-29.1000,-50.9000,80.9000,29,1
34,shelf1,shelf,inspect_capture,-28.8307,-55.9955,80.9000,67.50,0.00,0.00,-27.3000,-52.3000,80.9000,29,2
35,shelf1,shelf,inspect_capture,-34.3000,-49.7000,80.9000,0.00,0.00,0.00,-27.5000,-49.7000,80.9000,29,3
36,shelf1,shelf,inspect_capture,-7.9000,-53.7000,80.9000,0.00,0.00,0.00,-3.9000,-53.7000,80.9000,29,5
