waypoint_id,x,y,z,source_viewpoint_id
0,72.1669,-63.4331,77.9000,0
1,45.4355,-56.9645,77.9000,1
2,29.8941,-54.5059,77.9000,2
3,64.1022,-60.4176,77.9000,3
4,45.7073,-57.2197,77.9000,4
5,-34.6366,-51.0440,77.9000,5
6,-31.6307,-54.1955,78.1000,6
7,15.4654,-59.3369,78.1000,7
8,15.9000,-57.7000,78.1000,8
9,15.9000,-57.3000,78.1000,9
10,-7.9426,-49.0574,78.1000,10
11,24.4307,-53.6045,78.1000,11
12,66.8307,-60.8045,78.1000,12
13,37.7000,-55.9000,78.1000,13
14,53.6355,-58.3645,78.1000,14
15,48.2307,-57.6045,78.1000,15
16,69.4307,-61.2045,78.1000,16
17,26.1000,-53.9000,78.1000,17
18,52.5022,-58.4176,78.1000,18
19,24.3184,-53.2816,78.1000,19
20,73.3284,-64.2716,78.1000,20
21,-0.2716,-50.4716,78.1000,21
22,-23.7302,-46.3302,78.1000,22
23,-29.9000,-44.9000,78.1000,23
24,65.9184,-60.4816,78.1000,24
25,16.1000,-57.9000,78.3000,25
26,-30.5284,-55.3284,78.3000,26
27,-25.0978,-45.6176,78.3000,27
28,-33.7000,-52.3000,78.3000,28
29,-23.2816,-47.6816,80.9000,29
30,42.1770,-56.2230,80.9000,30
31,-1.0039,-49.9567,80.9000,31
32,-23.6716,-46.6716,80.9000,32
33,-26.9570,-56.0737,80.9000,33
34,-28.8307,-55.9955,80.9000,34
35,-34.3000,-49.7000,80.9000,35
36,-7.9000,-53.7000,80.9000,36
37,15.7000,-57.7000,80.9000,37
38,15.8328,-58.0212,80.9000,38
39,-1.7693,-49.6045,80.9000,39
40,22.4134,-52.6806,80.9000,40
41,51.6307,-58.0045,80.9000,41
42,61.1788,-59.8328,80.9000,42
43,31.6307,-54.6045,80.9000,43
44,36.4307,-55.4045,80.9000,44
45,50.1527,-57.8473,80.9000,45
46,43.4307,-56.6045,80.9000,46
47,63.6307,-60.2045,80.9000,47
48,69.7196,-62.1415,80.9000,48
49,65.8307,-71.9955,81.1000,49
50,70.7284,-62.6716,81.1000,50
51,74.3669,-62.2331,81.1000,51
52,30.0941,-54.5059,81.1000,52
53,-24.5415,-46.0804,81.1000,53
54,64.9824,-60.4978,81.1000,54
55,67.0307,-60.8045,81.1000,55
56,55.2307,-58.6045,81.1000,56
57,24.7838,-53.0349,81.1000,57
58,-8.1000,-55.7000,81.1000,58
59,-34.5000,-48.5000,81.1000,59
60,-33.9000,-50.3000,81.1000,60
61,15.5000,-59.9000,81.1000,61
62,-8.5000,-55.9000,81.1000,62
63,-33.3955,-52.0307,81.1000,63
64,-34.1955,-50.2307,81.1000,64
65,-33.1000,-51.9000,81.1000,65
66,-27.1000,-45.7000,83.9000,66
67,-0.2716,-51.0716,83.9000,67
68,55.3022,-57.8176,83.9000,68
69,43.3492,-56.1872,83.9000,69
70,45.8230,-67.7770,83.9000,70
71,22.3645,-63.6355,83.9000,71
72,37.9000,-66.3000,83.9000,72
73,48.1426,-68.1426,83.9000,73
74,37.0134,-66.3194,83.9000,74
75,68.8012,-61.9988,83.9000,75
76,69.6497,-71.4497,84.1000,76
77,30.6841,-64.4841,84.1000,77
78,54.4255,-68.6255,84.1000,78
79,70.1073,-62.8197,84.1000,79
80,61.2257,-59.2024,84.1000,80
81,18.0917,-54.4917,84.1000,81
82,-7.7955,-56.4307,84.1000,82
83,-32.7000,-50.7000,84.1000,83
84,-32.5955,-52.4307,84.1000,84
85,31.4473,-64.7527,84.1000,85
86,15.8197,-57.4927,84.1000,86
87,55.2024,-68.4257,84.1000,87
88,18.5159,-63.8841,84.1000,88
89,-7.9000,-55.1000,84.1000,89
90,42.2574,-67.7426,84.1000,90
91,50.7397,-68.7498,84.1000,91
92,62.8162,-70.5651,84.1000,92
93,70.8113,-70.8113,84.1000,93
94,23.1000,-63.7000,84.1000,94
95,46.7000,-67.9000,84.1000,95
96,0.7000,-55.7000,84.1000,96
97,-24.2716,-54.7284,84.1000,97
98,-30.7284,-53.7284,86.9000,98
99,-30.3284,-47.0716,86.9000,99
100,-0.1302,-51.1302,86.9000,100
101,60.4900,-70.5042,86.9000,101
102,46.7000,-68.1000,87.1000,102
103,49.7000,-68.7000,87.1000,103
104,37.9000,-66.7000,87.1000,104
105,52.7000,-69.1000,87.1000,105
106,37.0430,-66.6737,87.1000,106
107,45.7369,-67.9346,87.1000,107
108,71.7651,-69.1838,87.1000,108
109,63.6900,-70.9042,87.1000,109
110,42.9665,-67.4889,87.1000,110
111,66.8430,-71.6737,87.1000,111
112,69.6497,-60.9503,87.1000,112
113,71.5803,-64.6927,87.1000,113
114,19.4045,-53.9693,87.1000,114
115,-31.7955,-52.2307,87.1000,115
116,32.7961,-50.7567,87.3000,116
117,49.9788,-52.4328,87.3000,117
118,64.8497,-53.5503,89.9000,118
119,41.6900,-67.5042,89.9000,119
120,48.8430,-69.0737,89.9000,120
121,49.3000,-69.1000,89.9000,121
122,12.0335,-52.3111,89.9000,122
123,-21.5000,-46.7000,89.9000,123
124,-9.1000,-59.1000,89.9000,124
125,-19.5000,-57.3000,89.9000,125
126,-12.3000,-58.9000,89.9000,126
127,-6.5000,-59.5000,89.9000,127
128,-18.4134,-57.7194,90.1000,128
129,-15.4900,-58.3042,90.1000,129
130,-28.6134,-55.9194,90.1000,130
131,-27.8134,-55.9194,90.1000,131
132,-28.9838,-46.4349,90.1000,132
133,-3.1397,-50.0502,90.1000,133
134,-8.1397,-49.0502,90.1000,134
135,-3.9000,-49.9000,90.1000,135
136,-1.0900,-50.2958,90.1000,136
137,4.9000,-51.1000,90.1000,137
138,13.2603,-52.6502,90.1000,138
139,19.3000,-53.9000,90.1000,139
140,20.2045,-50.1693,90.1000,140
141,49.8331,-50.8331,90.1000,141
142,70.3770,-55.0230,90.1000,142
143,64.2598,-53.3402,90.1000,143
144,42.7000,-67.9000,90.1000,144
145,55.5000,-70.3000,90.1000,145
146,55.1000,-70.3000,90.1000,146
147,19.7000,-51.9000,90.1000,147
148,39.1000,-67.3000,90.3000,148
149,69.0307,-62.8045,92.9000,149
150,13.2024,-61.4257,92.9000,150
151,-2.1693,-58.9955,92.9000,151
152,-22.8816,-54.9184,93.1000,152
153,2.9824,-52.0978,93.1000,153
154,-31.5000,-50.7000,93.1000,154
155,20.1000,-63.3000,93.1000,155
156,43.7000,-67.1000,93.1000,156
157,68.8307,-70.9955,93.3000,157
158,-25.3693,-46.6045,93.3000,158
159,-31.1955,-52.4307,93.3000,159
160,-26.9000,-55.1000,95.9000,160
161,-7.7955,-53.1693,95.9000,161
162,-7.9955,-53.3693,95.9000,162
163,63.2045,-64.9693,95.9000,163
164,63.9887,-63.1887,96.1000,164
165,39.8045,-60.3693,96.1000,165
166,16.4045,-56.5693,96.1000,166
167,-22.7000,-50.3000,96.1000,167
168,0.3955,-52.9693,96.1000,168
169,71.3955,-68.6307,96.1000,169
170,-1.9693,-58.9955,96.1000,170
171,46.9284,-65.9284,96.1000,171
172,23.1284,-61.9284,96.1000,172
173,39.3000,-62.1000,96.1000,173
174,16.7302,-55.3302,96.1000,174
175,-31.3955,-48.9693,96.1000,175
176,-31.3955,-52.2307,96.3000,176
177,24.7000,-57.1000,96.3000,177
178,71.7000,-65.3000,96.3000,178
179,63.2045,-65.3693,98.9000,179
180,15.7000,-58.7000,98.9000,180
181,72.7000,-58.5000,98.9000,181
182,64.5576,-57.4236,98.9000,182
183,-31.5000,-50.7000,98.9000,183
184,-27.1000,-54.9000,99.1000,184
185,-23.0197,-48.8927,99.1000,185
186,71.1955,-65.1693,99.1000,186
187,26.9000,-48.9000,99.1000,187
188,64.1745,-62.0255,99.1000,188
189,18.2654,-51.1369,99.1000,189
190,-31.1955,-48.9693,99.1000,190
191,16.0045,-60.4307,99.1000,191
192,63.2045,-68.6307,99.1000,192
193,40.7000,-53.7000,99.1000,193
194,18.8045,-48.1693,99.1000,194
195,50.9000,-54.1000,99.1000,195
196,26.7651,-48.0162,99.1000,196
197,67.3000,-71.3000,99.1000,197
198,72.1527,-53.6473,99.3000,198
199,50.7955,-51.3693,99.3000,199
200,23.1284,-61.9284,99.3000,200
201,62.9000,-66.9000,102.1000,201
202,15.9000,-58.7000,102.1000,202
203,21.6307,-54.8045,102.1000,203
204,71.1955,-65.3693,102.1000,204
205,24.1803,-60.5073,102.1000,205
206,68.8307,-70.7955,102.1000,206
207,-25.5693,-54.5955,102.1000,207
208,64.7906,-70.3660,102.1000,208
209,16.2045,-60.4307,102.1000,209
210,-31.1955,-52.2307,102.1000,210
211,-31.1955,-48.9693,102.3000,211
212,-24.0716,-47.4716,102.3000,212
213,-24.1302,-47.3302,104.9000,213
214,-24.2716,-53.5284,104.9000,214
215,15.7000,-58.7000,104.9000,215
216,-31.3000,-50.5000,105.1000,216
217,64.2716,-64.0716,105.1000,217
218,70.1284,-64.0716,105.1000,218
219,23.7955,-57.1693,105.1000,219
220,70.1284,-69.9284,105.1000,220
221,22.9284,-61.7284,105.1000,221
222,18.3693,-62.5955,105.1000,222
223,-30.1284,-53.5284,105.1000,223
224,64.2716,-69.9284,105.1000,224
