viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,shelf2,shelf,inspect_capture,-36.1159,-136.4841,77.3000,135.00,0.00,0.00,-40.5000,-132.1000,77.3000,14,2
2,shelf2,shelf,inspect_capture,-16.9955,-138.0307,77.3000,22.50,0.00,0.00,-13.3000,-136.5000,77.3000,14,12
1,shelf2,shelf,inspect_capture,-9.8716,-139.5284,77.3000,135.00,0.00,0.00,-12.7000,-136.7000,77.3000,14,12
3,shelf2,shelf,inspect_capture,16.9000,-145.9000,77.3000,90.00,0.00,0.00,16.9000,-141.9000,77.3000,14,16
30,shelf2,shelf,inspect_capture,-45.9284,-134.3284,77.5000,45.00,0.00,0.00,-43.1000,-131.5000,77.5000,15,0
15,shelf2,shelf,inspect_capture,-43.8307,-135.3955,77.5000,67.50,0.00,0.00,-42.3000,-131.7000,77.5000,15,0
35,shelf2,shelf,inspect_capture,-48.2737,-129.1570,77.5000,-22.50,0.00,0.00,-43.1000,-131.3000,77.5000,15,0
37,shelf2,shelf,inspect_capture,-48.0433,-131.3961,77.5000,22.50,0.00,0.00,-42.5000,-129.1000,77.5000,15,1
34,shelf2,shelf,inspect_capture,-48.1000,-131.7000,77.5000,0.00,0.00,0.00,-41.1000,-131.7000,77.5000,15,2
23,shelf2,shelf,inspect_capture,-37.0162,-136.5651,77.5000,112.50,0.00,0.00,-38.7000,-132.5000,77.5000,15,3
22,shelf2,shelf,inspect_capture,-32.1745,-137.4255,77.5000,135.00,0.00,0.00,-36.7000,-132.9000,77.5000,15,5
21,shelf2,shelf,inspect_capture,-29.4631,-138.1346,77.5000,112.50,0.00,0.00,-31.3000,-133.7000,77.5000,15,7
36,shelf2,shelf,inspect_capture,-16.9955,-134.7693,77.5000,-22.50,0.00,0.00,-13.3000,-136.3000,77.5000,15,12
33,shelf2,shelf,inspect_capture,-16.9000,-134.3000,77.5000,0.00,0.00,0.00,-12.9000,-134.3000,77.5000,15,13
24,shelf2,shelf,inspect_capture,-12.5000,-140.5000,77.5000,90.00,0.00,0.00,-12.5000,-134.7000,77.5000,15,13
9,shelf2,shelf,inspect_capture,3.6307,-142.7955,77.5000,112.50,0.00,0.00,2.1000,-139.1000,77.5000,15,14
7,shelf2,shelf,inspect_capture,5.7527,-140.3527,77.5000,135.00,0.00,0.00,2.5000,-137.1000,77.5000,15,15
32,shelf2,shelf,inspect_capture,12.2197,-143.1073,77.5000,22.50,0.00,0.00,16.1000,-141.5000,77.5000,15,16
28,shelf2,shelf,inspect_capture,14.6804,-144.8585,77.5000,67.50,0.00,0.00,16.9000,-139.5000,77.5000,15,17
29,shelf2,shelf,inspect_capture,11.7000,-141.9000,77.5000,0.00,0.00,0.00,18.1000,-141.9000,77.5000,15,18
18,shelf2,shelf,inspect_capture,20.3369,-146.5346,77.5000,112.50,0.00,0.00,18.5000,-142.1000,77.5000,15,18
