viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,tube1,tube,inspect_capture,41.1000,-76.0000,77.3000,90.00,0.00,0.00,41.1000,-69.1000,77.3000,14,0
1,tube1,tube,inspect_capture,14.2234,-58.9766,77.3000,-135.00,0.00,0.00,10.9000,-62.3000,77.3000,14,0
2,tube1,tube,inspect_capture,0.9874,-53.2948,77.3000,-112.50,0.00,0.00,-1.5000,-59.3000,77.3000,14,0
3,tube1,tube,inspect_capture,-17.7000,-65.4000,77.3000,90.00,0.00,0.00,-17.7000,-59.1000,77.3000,14,0
4,tube1,tube,inspect_capture,-20.9000,-53.0000,77.3000,-90.00,0.00,0.00,-20.9000,-59.5000,77.3000,14,0
16,tube1,tube,inspect_capture,35.7000,-79.0000,77.5000,90.00,0.00,0.00,35.7000,-72.3000,77.5000,15,0
17,tube1,tube,inspect_capture,39.7000,-76.2000,77.5000,90.00,0.00,0.00,39.7000,-71.3000,77.5000,15,0
18,tube1,tube,inspect_capture,34.7000,-55.4000,77.5000,-90.00,0.00,0.00,34.7000,-62.3000,77.5000,15,0
5,tube1,tube,inspect_capture,-16.1000,-53.8000,77.5000,-90.00,0.00,0.00,-16.1000,-58.1000,77.5000,15,0
6,tube1,tube,inspect_capture,-27.6000,-57.9000,77.5000,0.00,0.00,0.00,-21.9000,-57.9000,77.5000,15,0
7,tube1,tube,inspect_capture,-16.9000,-65.4000,77.5000,90.00,0.00,0.00,-16.9000,-59.1000,77.5000,15,0
8,tube1,tube,inspect_capture,-18.9000,-53.6000,77.5000,-90.00,0.00,0.00,-18.9000,-59.9000,77.5000,15,0
9,tube1,tube,inspect_capture,-11.8126,-54.6948,77.5000,-112.50,0.00,0.00,-14.3000,-60.7000,77.5000,15,0
10,tube1,tube,inspect_capture,-23.7000,-64.6000,77.5000,90.00,0.00,0.00,-23.7000,-60.7000,77.5000,15,0
11,tube1,tube,inspect_capture,-12.7000,-67.2000,77.5000,90.00,0.00,0.00,-12.7000,-62.3000,77.5000,15,0
12,tube1,tube,inspect_capture,-7.4344,-69.1357,77.5000,67.50,0.00,0.00,-5.1000,-63.5000,77.5000,15,0
13,tube1,tube,inspect_capture,-0.8109,-69.5891,77.5000,135.00,0.00,0.00,-4.7000,-65.7000,77.5000,15,0
14,tube1,tube,inspect_capture,-4.1925,-69.7031,77.5000,67.50,0.00,0.00,-2.7000,-66.1000,77.5000,15,0
15,tube1,tube,inspect_capture,-8.9000,-68.8000,77.5000,90.00,0.00,0.00,-8.9000,-64.9000,77.5000,15,1
19,tube1,tube,inspect_capture,64.3000,-74.4000,80.3000,90.00,0.00,0.00,64.3000,-68.3000,80.3000,29,13
20,tube1,tube,inspect_capture,15.9252,-58.0595,80.9000,-22.50,0.00,0.00,22.3000,-60.7000,80.9000,32,0
