waypoint_id,x,y,z,source_viewpoint_id
0,41.1000,-76.0000,77.3000,0
1,14.2234,-58.9766,77.3000,1
2,0.9874,-53.2948,77.3000,2
3,-17.7000,-65.4000,77.3000,3
4,-20.9000,-53.0000,77.3000,4
5,-16.1000,-53.8000,77.5000,5
6,-27.6000,-57.9000,77.5000,6
7,-16.9000,-65.4000,77.5000,7
8,-18.9000,-53.6000,77.5000,8
9,-11.8126,-54.6948,77.5000,9
10,-23.7000,-64.6000,77.5000,10
11,-12.7000,-67.2000,77.5000,11
12,-7.4344,-69.1357,77.5000,12
13,-0.8109,-69.5891,77.5000,13
14,-4.1925,-69.7031,77.5000,14
15,-8.9000,-68.8000,77.5000,15
16,35.7000,-79.0000,77.5000,16
17,39.7000,-76.2000,77.5000,17
18,34.7000,-55.4000,77.5000,18
19,64.3000,-74.4000,80.3000,19
20,15.9252,-58.0595,80.9000,20
