viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,wires1,wires,inspect_capture,-5.4598,-104.5402,86.3000,-45.00,0.00,0.00,-1.5000,-108.5000,86.3000,1,5
1,wires1,wires,inspect_capture,8.6481,-112.5447,86.3000,-22.50,0.00,0.00,15.3000,-115.3000,86.3000,1,30
2,wires1,wires,inspect_capture,-5.5651,-106.0162,86.3000,-22.50,0.00,0.00,-1.5000,-107.7000,86.3000,1,7
3,wires1,wires,inspect_capture,-6.3651,-111.2162,86.3000,-22.50,0.00,0.00,-2.3000,-112.9000,86.3000,1,1
4,wires1,wires,inspect_capture,-6.7000,-113.5000,86.3000,0.00,0.00,0.00,0.5000,-113.5000,86.3000,1,11
5,wires1,wires,inspect_capture,8.4349,-113.6162,86.3000,-22.50,0.00,0.00,12.5000,-115.3000,86.3000,1,22
6,wires1,wires,inspect_capture,7.3634,-120.9560,86.3000,-9.74,0.00,0.00,11.7000,-121.7000,86.3000,1,20
7,wires1,wires,inspect_capture,-6.7346,-114.9369,86.3000,22.50,0.00,0.00,-2.3000,-113.1000,86.3000,1,1
8,wires1,wires,inspect_capture,7.8176,-119.0978,86.3000,-22.50,0.00,0.00,14.1000,-121.7000,86.3000,1,28
9,wires1,wires,inspect_capture,-6.0366,-107.9560,86.3000,-9.74,0.00,0.00,-1.7000,-108.7000,86.3000,1,5
10,wires1,wires,inspect_capture,8.1000,-115.5000,86.3000,0.00,0.00,0.00,12.5000,-115.5000,86.3000,1,22
11,wires1,wires,inspect_capture,-6.7000,-113.7000,86.3000,0.00,0.00,0.00,0.5000,-113.7000,86.3000,1,11
12,wires1,wires,inspect_capture,21.7498,-122.0603,86.3000,157.50,0.00,0.00,17.5000,-120.3000,86.3000,1,35
13,wires1,wires,inspect_capture,7.3000,-118.3000,86.3000,180.00,0.00,0.00,2.7000,-118.3000,86.3000,1,16
14,wires1,wires,inspect_capture,7.9000,-115.3000,86.3000,180.00,0.00,0.00,0.5000,-115.3000,86.3000,1,11
15,wires1,wires,inspect_capture,23.1770,-114.5770,86.3000,135.00,0.00,0.00,19.5000,-110.9000,86.3000,1,39
16,wires1,wires,inspect_capture,23.3000,-115.7000,86.3000,180.00,0.00,0.00,15.9000,-115.7000,86.3000,1,30
17,wires1,wires,inspect_capture,24.1000,-111.5000,86.3000,180.00,0.00,0.00,19.7000,-111.5000,86.3000,1,35
18,wires1,wires,inspect_capture,30.4128,-88.4508,88.9000,-157.50,0.00,0.00,24.5000,-90.9000,88.9000,14,6
19,wires1,wires,inspect_capture,18.7184,-64.1184,88.9000,135.00,0.00,0.00,14.9000,-60.3000,88.9000,14,11
20,wires1,wires,inspect_capture,-1.7000,-80.5000,89.1000,-90.00,0.00,0.00,-1.7000,-87.3000,89.1000,15,6
21,wires1,wires,inspect_capture,27.7000,-97.9000,89.9000,90.00,0.00,0.00,27.7000,-93.3000,89.9000,19,3
