waypoint_id,x,y,z,source_viewpoint_id
0,-5.4598,-104.5402,86.3000,0
1,8.6481,-112.5447,86.3000,1
2,-5.5651,-106.0162,86.3000,2
3,-6.3651,-111.2162,86.3000,3
4,-6.7000,-113.5000,86.3000,4
5,8.4349,-113.6162,86.3000,5
6,7.3634,-120.9560,86.3000,6
7,-6.7346,-114.9369,86.3000,7
8,7.8176,-119.0978,86.3000,8
9,-6.0366,-107.9560,86.3000,9
10,8.1000,-115.5000,86.3000,10
11,-6.7000,-113.7000,86.3000,11
12,21.7498,-122.0603,86.3000,12
13,7.3000,-118.3000,86.3000,13
14,7.9000,-115.3000,86.3000,14
15,23.1770,-114.5770,86.3000,15
16,23.3000,-115.7000,86.3000,16
17,24.1000,-111.5000,86.3000,17
18,30.4128,-88.4508,88.9000,18
19,18.7184,-64.1184,88.9000,19
20,-1.7000,-80.5000,89.1000,20
21,27.7000,-97.9000,89.9000,21
